,DIN,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
1,10081,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,642 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
2,50024,NA,CODEINE PHOSPHATE 25 MG,SYRUP,ORAL,CODEINE PHOSPHATE SYRUP,0.96,52,94,364,728,1560,MARKETED
3,95494,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE",1.2,42,75,294,588,1260,DORMANT
4,108146,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
5,108162,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,222 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
6,125083,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,DILAUDID,10,5,9,35,70,150,MARKETED
7,125121,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,DILAUDID,20,2,4,14,28,60,MARKETED
8,151351,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,CAPSULE,ORAL,NOVO-PROPOXYN CAP 65MG,19.5,3,5,21,42,90,CANCELLED POST MARKET
9,176192,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,FIORINAL-C 1/4,2.25,22,40,154,308,660,APPROVED
10,176206,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,FIORINAL-C 1/2,4.5,11,20,77,154,330,MARKETED
11,180041,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C 8MG TAB,1.2,42,75,294,588,1260,MARKETED
12,180041,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,ACETYLSALICYLIC ACID CAFFEINE & 8MG COD PHOS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
13,261432,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON-N,19.5,3,5,21,42,90,CANCELLED POST MARKET
14,261459,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON N COMPOUND PULVULE 405,19.5,3,5,21,42,90,CANCELLED POST MARKET
15,293490,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ATASOL 8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
16,293504,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ATASOL 15,2.25,22,40,154,308,660,MARKETED
17,293512,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ATASOL 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
18,392472,NA,OXYCODONE HYDROCHLORIDE 20 MG,SUPPOSITORY,RECTAL,SUPEUDOL 20,40,1,2,7,14,30,MARKETED
19,392480,NA,OXYCODONE HYDROCHLORIDE 10 MG,SUPPOSITORY,RECTAL,SUPEUDOL 10,20,2,4,14,28,60,MARKETED
20,406104,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CORYPHEN 650 CODEINE 30 TAB,4.5,11,20,77,154,330,CANCELLED POST MARKET
21,440809,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ROUNOX AVEC CODEINE 15TAB,2.25,22,40,154,308,660,CANCELLED POST MARKET
22,443948,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET,ORAL,SUPEUDOL 10,15,3,6,21,42,90,MARKETED
23,477672,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ROUNOX CODEINE 60 TAB,9,6,10,42,84,180,CANCELLED POST MARKET
24,486582,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,M.O.S. SYRUP 1.0 MG/ML,1,50,90,350,700,1500,CANCELLED POST MARKET
25,514217,Keep,MORPHINE HYDROCHLORIDE 5 MG,SYRUP,ORAL,M.O.S. SYRUP 5MG/ML,5,10,18,70,140,300,CANCELLED POST MARKET
26,591467,Keep,MORPHINE SULFATE 1 MG,SYRUP,ORAL,STATEX SYRUP 1MG/ML,1,50,90,350,700,1500,MARKETED
27,591475,Keep,MORPHINE SULFATE 5 MG,SYRUP,ORAL,STATEX SYRUP 5MG/ML,5,10,18,70,140,300,CANCELLED POST MARKET
28,593435,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-CODEINE,2.25,22,40,154,308,660,APPROVED
