
,Drug_ID,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
316,2341212,NA,BUPRENORPHINE 10 MCG,PATCH,TRANSDERMAL,BUTRANS 10,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
421,2450771,NA,BUPRENORPHINE 15 MCG,PATCH,TRANSDERMAL,BUTRANS 15,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
317,2341220,NA,BUPRENORPHINE 20 MCG,PATCH,TRANSDERMAL,BUTRANS 20,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
315,2341174,NA,BUPRENORPHINE 5 MCG,PATCH,TRANSDERMAL,BUTRANS 5,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
146,2163748,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 100 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 100MG CONTROLLED RELEASE TAB,15,3,6,21,42,90,MARKETED
147,2163780,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 150 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 150MG CONTROLLED RELEASE TAB,22.5,2,4,14,28,60,MARKETED
148,2163799,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 200 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 200MG CONTROLLED RELEASE TAB,30,2,3,14,28,60,MARKETED
167,2230302,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 50 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 50MG CONTROLLED RELEASE TAB,7.5,7,12,49,98,210,MARKETED
12,180041,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,ACETYLSALICYLIC ACID CAFFEINE & 8MG COD PHOS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
416,2439220,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,TAMICODE TABLETS,1.2,42,75,294,588,1260,APPROVED
234,2258978,NA,CODEINE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF CAPLETS,1.2,42,75,294,588,1260,APPROVED
9,176192,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,FIORINAL-C 1/4,2.25,22,40,154,308,660,APPROVED
16,293504,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ATASOL 15,2.25,22,40,154,308,660,MARKETED
21,440809,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ROUNOX AVEC CODEINE 15TAB,2.25,22,40,154,308,660,CANCELLED POST MARKET
28,593435,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-CODEINE,2.25,22,40,154,308,660,APPROVED
40,608203,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/4,2.25,22,40,154,308,660,APPROVED
55,653241,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 2,2.25,22,40,154,308,660,MARKETED
69,706515,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ACET 2,2.25,22,40,154,308,660,CANCELLED POST MARKET
73,779458,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE TAB 15MG,2.25,22,40,154,308,660,CANCELLED POST MARKET
120,2009889,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE 15,2.25,22,40,154,308,660,MARKETED
151,2163934,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 2 - TAB,2.25,22,40,154,308,660,MARKETED
172,2234510,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,282 TABLETS,2.25,22,40,154,308,660,DORMANT
184,2242406,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TRIANAL C?,2.25,22,40,154,308,660,MARKETED
187,2243978,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,PMS-CODEINE,2.25,22,40,154,308,660,CANCELLED POST MARKET
98,1934783,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,ROBAXISAL C 1/4,2.43,21,37,147,294,630,MARKETED
105,1966367,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,METHOXISAL-C 1/4,2.43,21,37,147,294,630,CANCELLED POST MARKET
2,50024,NA,CODEINE PHOSPHATE 25 MG,SYRUP,ORAL,CODEINE PHOSPHATE SYRUP,0.96,52,94,364,728,1560,MARKETED
10,176206,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,FIORINAL-C 1/2,4.5,11,20,77,154,330,MARKETED
17,293512,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ATASOL 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
20,406104,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CORYPHEN 650 CODEINE 30 TAB,4.5,11,20,77,154,330,CANCELLED POST MARKET
29,593451,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-CODEINE,4.5,11,20,77,154,330,MARKETED
39,608181,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/2,4.5,11,20,77,154,330,APPROVED
41,608882,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-EMTEC-30,4.5,11,20,77,154,330,MARKETED
56,653276,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 3,4.5,11,20,77,154,330,APPROVED
76,789828,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TRIATEC-30,4.5,11,20,77,154,330,MARKETED
107,1971387,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TRIANAL C?,4.5,11,20,77,154,330,MARKETED
113,1999648,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ACET CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
117,2009757,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CODEINE 30,4.5,11,20,77,154,330,MARKETED
150,2163926,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 3 - TAB,4.5,11,20,77,154,330,MARKETED
169,2232389,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,EXDOL-30,4.5,11,20,77,154,330,CANCELLED POST MARKET
170,2232658,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PROCET-30,4.5,11,20,77,154,330,MARKETED
177,2238645,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,292 TABLETS,4.5,11,20,77,154,330,DORMANT
188,2243979,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PMS-CODEINE,4.5,11,20,77,154,330,CANCELLED POST MARKET
231,2254271,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PHL-ACET-CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
99,1934791,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,ROBAXISAL C 1/2,4.86,10,19,70,140,300,MARKETED
